Read FITS...

Statistics of 60 x 60 x 70 image. Number of axis = 3. Bits per pixel=-32.
Command: ./main
Filtering image 'small_cube.fits' using attribute area with lambda=100.000000.
FreeImage version: 3.18.0
Image: Width=60 Height=60 Depth=70 Size=252000 Size2D=3600. nthreads for sorting and quantize the max tree: 4.
Size of int=4. Size of long=8. Size of float=4. Size of double=8.
/*** Sort the pixels ***/
Radix Sort (steps=2)
/*** Calculate the quantized image ***/
/*** Build the max tree of the quantized image. (threads 4)***/
62357 -1 71472
66822 -1 175839
62380 -1 127422
66823 -1 75892
62381 -1 103755
66824 -1 205792
62382 -1 208396
66825 -1 37395
62383 -1 13630
66826 -1 61579
62384 -1 106566
66827 -1 172856
62402 -1 238416
66853 -1 131013
62403 -1 109802
66854 -1 567
62404 -1 51636
66855 -1 213180
62412 -1 206250
66860 -1 144337
62415 -1 36285
66866 -1 223533
62416 -1 80881
66880 -1 179321
66881 -1 156065
62440 -1 104576
66882 -1 229881
62441 -1 161041
66883 -1 242724
62442 -1 178316
66884 -1 119877
62443 -1 233623
66885 -1 207596
62463 -1 133266
62473 -1 116246
62474 -1 226081
62475 -1 172561
62534 -1 149757
62535 -1 43622
66886 -1 121977
62595 -1 17290
66918 -1 222378
62596 -1 159773
66919 -1 164750
62601 -1 113818
66920 -1 83692
62632 -1 95318
66921 -1 29824
62640 -1 231929
66940 -1 148304
62655 -1 77919
66941 -1 111841
62660 -1 147521
66942 -1 195715
62661 -1 19844
62662 -1 200868
62691 -1 187958
62692 -1 71066
62693 -1 48420
62699 -1 226472
62700 -1 55628
66943 -1 242413
66944 -1 167193
66945 -1 169979
67002 -1 76405
67022 -1 220771
67033 -1 140415
67093 -1 143803
67094 -1 170601
62720 -1 202209
62721 -1 197529
62750 -1 215796
62751 -1 192456
62752 -1 116010
62754 -1 4307
67125 -1 241972
62755 -1 243953
67153 -1 121364
62756 -1 203130
67154 -1 3918
62757 -1 213618
67155 -1 38660
62758 -1 134016
62759 -1 230277
67161 -1 240763
62780 -1 207614
62781 -1 182767
67185 -1 169046
62810 -1 230975
62811 -1 140016
62818 -1 57261
62819 -1 132724
62840 -1 71162
62858 -1 174856
62870 -1 143466
67186 -1 129722
62871 -1 54600
67213 -1 177134
62917 -1 230878
67214 -1 229481
62918 -1 19202
67215 -1 202456
62930 -1 12321
67216 -1 55059
62931 -1 135039
67217 -1 48068
62977 -1 164606
67221 -1 56536
62978 -1 226640
67222 -1 245552
62979 -1 37674
67245 -1 244947
63037 -1 63822
67246 -1 144883
67247 -1 92508
67274 -1 54724
67275 -1 117779
67276 -1 126897
67277 -1 28481
67278 -1 229797
67279 -1 70094
67280 -1 61735
67281 -1 66702
67282 -1 240718
67307 -1 13224
63038 -1 148488
67335 -1 26431
63039 -1 163446
67336 -1 366
63040 -1 130475
67339 -1 129024
63098 -1 232258
67340 -1 13256
63099 -1 37764
67341 -1 136105
63100 -1 243989
67383 -1 206558
63101 -1 235503
63107 -1 65759
67390 -1 233712
63133 -1 184314
67391 -1 124615
63159 -1 187333
67394 -1 42717
63160 -1 227108
67395 -1 42333
63161 -1 56715
67400 -1 129213
63162 -1 222421
67401 -1 170402
63166 -1 18756
67449 -1 93917
63167 -1 251797
67450 -1 245360
63191 -1 208195
67451 -1 3281
63192 -1 56581
67452 -1 232150
63193 -1 244712
67453 -1 186128
63194 -1 2138
67454 -1 240704
63200 -1 104639
67482 -1 124157
63219 -1 98393
67492 -1 84998
63220 -1 133489
67506 -1 225739
63221 -1 19987
67507 -1 239502
63222 -1 125317
67508 -1 36322
63223 -1 121620
67509 -1 60969
63224 -1 82215
67512 -1 102030
63225 -1 121622
67514 -1 152345
63226 -1 161663
67515 -1 59867
63227 -1 64120
67524 -1 174080
63228 -1 53874
67525 -1 75993
63252 -1 206452
67526 -1 36374
63253 -1 160537
67540 -1 215803
63254 -1 134806
67541 -1 164341
63255 -1 27147
67542 -1 59681
63259 -1 130870
67543 -1 183092
